Name,ShortName
中国,中国
北京,北京
北京市,北京
东城区,东城
西城区,西城
朝阳区,朝阳
丰台区,丰台
石景山区,石景山
海淀区,海淀
门头沟区,门头沟
房山区,房山
通州区,通州
顺义区,顺义
昌平区,昌平
大兴区,大兴
怀柔区,怀柔
平谷区,平谷
密云县,密云
延庆县,延庆
天津,天津
天津市,天津
和平区,和平
河东区,河东
河西区,河西
南开区,南开
河北区,河北
红桥区,红桥
东丽区,东丽
西青区,西青
津南区,津南
北辰区,北辰
武清区,武清
宝坻区,宝坻
滨海新区,滨海新区
宁河县,宁河
静海县,静海
蓟县,蓟县
河北省,河北
石家庄市,石家庄
长安区,长安
桥西区,桥西
新华区,新华
井陉矿区,井陉矿区
裕华区,裕华
藁城区,藁城
鹿泉区,鹿泉
栾城区,栾城
井陉县,井陉
正定县,正定
行唐县,行唐
灵寿县,灵寿
高邑县,高邑
深泽县,深泽
赞皇县,赞皇
无极县,无极
平山县,平山
元氏县,元氏
赵县,赵县
辛集市,辛集
晋州市,晋州
新乐市,新乐
唐山市,唐山
路南区,路南
路北区,路北
古冶区,古冶
开平区,开平
丰南区,丰南
丰润区,丰润
曹妃甸区,曹妃甸
滦县,滦县
滦南县,滦南
乐亭县,乐亭
迁西县,迁西
玉田县,玉田
遵化市,遵化
迁安市,迁安
秦皇岛市,秦皇岛
海港区,海港
山海关区,山海关
北戴河区,北戴河
青龙满族自治县,青龙
昌黎县,昌黎
抚宁县,抚宁
卢龙县,卢龙
邯郸市,邯郸
邯山区,邯山
丛台区,丛台
复兴区,复兴
峰峰矿区,峰峰矿区
邯郸县,邯郸
临漳县,临漳
成安县,成安
大名县,大名
涉县,涉县
磁县,磁县
肥乡县,肥乡
永年县,永年
邱县,邱县
鸡泽县,鸡泽
广平县,广平
馆陶县,馆陶
魏县,魏县
曲周县,曲周
武安市,武安
邢台市,邢台
桥东区,桥东
桥西区,桥西
邢台县,邢台
临城县,临城
内丘县,内丘
柏乡县,柏乡
隆尧县,隆尧
任县,任县
南和县,南和
宁晋县,宁晋
巨鹿县,巨鹿
新河县,新河
广宗县,广宗
平乡县,平乡
威县,威县
清河县,清河
临西县,临西
南宫市,南宫
沙河市,沙河
保定市,保定
新市区,新市
北市区,北市
南市区,南市
满城县,满城
清苑县,清苑
涞水县,涞水
阜平县,阜平
徐水县,徐水
定兴县,定兴
唐县,唐县
高阳县,高阳
容城县,容城
涞源县,涞源
望都县,望都
安新县,安新
易县,易县
曲阳县,曲阳
蠡县,蠡县
顺平县,顺平
博野县,博野
雄县,雄县
涿州市,涿州
定州市,定州
安国市,安国
高碑店市,高碑店
张家口市,张家口
桥东区,桥东
桥西区,桥西
宣化区,宣化
下花园区,下花园
宣化县,宣化
张北县,张北
康保县,康保
沽源县,沽源
尚义县,尚义
蔚县,蔚县
阳原县,阳原
怀安县,怀安
万全县,万全
怀来县,怀来
涿鹿县,涿鹿
赤城县,赤城
崇礼县,崇礼
承德市,承德
双桥区,双桥
双滦区,双滦
鹰手营子矿区,鹰手营子矿区
承德县,承德
兴隆县,兴隆
平泉县,平泉
滦平县,滦平
隆化县,隆化
丰宁满族自治县,丰宁
宽城满族自治县,宽城
围场满族蒙古族自治县,围场
沧州市,沧州
新华区,新华
运河区,运河
沧县,沧县
青县,青县
东光县,东光
海兴县,海兴
盐山县,盐山
肃宁县,肃宁
南皮县,南皮
吴桥县,吴桥
献县,献县
孟村回族自治县,孟村
泊头市,泊头
任丘市,任丘
黄骅市,黄骅
河间市,河间
廊坊市,廊坊
安次区,安次
广阳区,广阳
固安县,固安
永清县,永清
香河县,香河
大城县,大城
文安县,文安
大厂回族自治县,大厂
霸州市,霸州
三河市,三河
衡水市,衡水
桃城区,桃城
枣强县,枣强
武邑县,武邑
武强县,武强
饶阳县,饶阳
安平县,安平
故城县,故城
景县,景县
阜城县,阜城
冀州市,冀州
深州市,深州
山西省,山西
太原市,太原
小店区,小店
迎泽区,迎泽
杏花岭区,杏花岭
尖草坪区,尖草坪
万柏林区,万柏林
晋源区,晋源
清徐县,清徐
阳曲县,阳曲
娄烦县,娄烦
古交市,古交
大同市,大同
城区,城区
矿区,矿区
南郊区,南郊
新荣区,新荣
阳高县,阳高
天镇县,天镇
广灵县,广灵
灵丘县,灵丘
浑源县,浑源
左云县,左云
大同县,大同
阳泉市,阳泉
城区,城区
矿区,矿区
郊区,郊区
平定县,平定
盂县,盂县
长治市,长治
城区,城区
郊区,郊区
长治县,长治
襄垣县,襄垣
屯留县,屯留
平顺县,平顺
黎城县,黎城
壶关县,壶关
长子县,长子
武乡县,武乡
沁县,沁县
沁源县,沁源
潞城市,潞城
晋城市,晋城
城区,城区
沁水县,沁水
阳城县,阳城
陵川县,陵川
